INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../leading_one_tb.cpp in debug mode
   Compiling ../../../../main_leading_one.cpp in debug mode
   Generating csim.exe
number = 0b0 leading one at -1
number = 0b01 leading one at 0
number = 0b010 leading one at 1
number = 0b011 leading one at 1
number = 0b0100 leading one at 2
number = 0b0101 leading one at 2
number = 0b0110 leading one at 2
number = 0b0111 leading one at 2
number = 0b01000 leading one at 3
number = 0b01001 leading one at 3
number = 0b01010 leading one at 3
number = 0b01011 leading one at 3
number = 0b01100 leading one at 3
number = 0b01101 leading one at 3
number = 0b01110 leading one at 3
number = 0b01111 leading one at 3
number = 0b010000 leading one at 4
number = 0b010001 leading one at 4
number = 0b010010 leading one at 4
number = 0b010011 leading one at 4
number = 0b010100 leading one at 4
number = 0b010101 leading one at 4
number = 0b010110 leading one at 4
number = 0b010111 leading one at 4
number = 0b011000 leading one at 4
number = 0b011001 leading one at 4
number = 0b011010 leading one at 4
number = 0b011011 leading one at 4
number = 0b011100 leading one at 4
number = 0b011101 leading one at 4
number = 0b011110 leading one at 4
number = 0b011111 leading one at 4
number = 0b0100000 leading one at 5
number = 0b0100001 leading one at 5
number = 0b0100010 leading one at 5
number = 0b0100011 leading one at 5
number = 0b0100100 leading one at 5
number = 0b0100101 leading one at 5
number = 0b0100110 leading one at 5
number = 0b0100111 leading one at 5
number = 0b0101000 leading one at 5
number = 0b0101001 leading one at 5
number = 0b0101010 leading one at 5
number = 0b0101011 leading one at 5
number = 0b0101100 leading one at 5
number = 0b0101101 leading one at 5
number = 0b0101110 leading one at 5
number = 0b0101111 leading one at 5
number = 0b0110000 leading one at 5
number = 0b0110001 leading one at 5
number = 0b0110010 leading one at 5
number = 0b0110011 leading one at 5
number = 0b0110100 leading one at 5
number = 0b0110101 leading one at 5
number = 0b0110110 leading one at 5
number = 0b0110111 leading one at 5
number = 0b0111000 leading one at 5
number = 0b0111001 leading one at 5
number = 0b0111010 leading one at 5
number = 0b0111011 leading one at 5
number = 0b0111100 leading one at 5
number = 0b0111101 leading one at 5
number = 0b0111110 leading one at 5
number = 0b0111111 leading one at 5
number = 0b01000000 leading one at 6
number = 0b01000001 leading one at 6
number = 0b01000010 leading one at 6
number = 0b01000011 leading one at 6
number = 0b01000100 leading one at 6
number = 0b01000101 leading one at 6
number = 0b01000110 leading one at 6
number = 0b01000111 leading one at 6
number = 0b01001000 leading one at 6
number = 0b01001001 leading one at 6
number = 0b01001010 leading one at 6
number = 0b01001011 leading one at 6
number = 0b01001100 leading one at 6
number = 0b01001101 leading one at 6
number = 0b01001110 leading one at 6
number = 0b01001111 leading one at 6
number = 0b01010000 leading one at 6
number = 0b01010001 leading one at 6
number = 0b01010010 leading one at 6
number = 0b01010011 leading one at 6
number = 0b01010100 leading one at 6
number = 0b01010101 leading one at 6
number = 0b01010110 leading one at 6
number = 0b01010111 leading one at 6
number = 0b01011000 leading one at 6
number = 0b01011001 leading one at 6
number = 0b01011010 leading one at 6
number = 0b01011011 leading one at 6
number = 0b01011100 leading one at 6
number = 0b01011101 leading one at 6
number = 0b01011110 leading one at 6
number = 0b01011111 leading one at 6
number = 0b01100000 leading one at 6
number = 0b01100001 leading one at 6
number = 0b01100010 leading one at 6
number = 0b01100011 leading one at 6
number = 0b01100100 leading one at 6
number = 0b01100101 leading one at 6
number = 0b01100110 leading one at 6
number = 0b01100111 leading one at 6
number = 0b01101000 leading one at 6
number = 0b01101001 leading one at 6
number = 0b01101010 leading one at 6
number = 0b01101011 leading one at 6
number = 0b01101100 leading one at 6
number = 0b01101101 leading one at 6
number = 0b01101110 leading one at 6
number = 0b01101111 leading one at 6
number = 0b01110000 leading one at 6
number = 0b01110001 leading one at 6
number = 0b01110010 leading one at 6
